,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.2806900126380695,-0.15569001263806947
sample_2,0.122,0.21347585268663424,-0.09147585268663425
sample_3,0.624,0.5890291034843005,0.03497089651569951
sample_4,0.042,-0.1115430194828132,0.1535430194828132
sample_5,0.589,0.5158597652455125,0.0731402347544875
sample_6,0.051,0.13435638983874373,-0.08335638983874374
sample_7,0.771,0.7442928477578343,0.026707152242165688
sample_8,0.775,0.6291852646586535,0.14581473534134648
sample_9,0.219,0.3562908502931523,-0.13729085029315227
sample_10,0.12,0.20948885847550588,-0.08948885847550589
sample_11,0.066,0.08010132098454659,-0.014101320984546584
sample_12,0.037,0.04823633290409546,-0.01123633290409546
sample_13,0.1,0.1700921295519504,-0.0700921295519504
sample_14,0.161,-0.055917439802849134,0.21691743980284914
sample_15,0.773,0.6719329683119101,0.10106703168808995
sample_16,0.087,0.11094512966865291,-0.02394512966865292
sample_17,0.511,0.5543925400582963,-0.04339254005829629
sample_18,0.079,-0.0683546206704626,0.14735462067046262
sample_19,0.043,0.006504909326207675,0.03649509067379232
sample_20,0.49,0.5634096808266911,-0.07340968082669108
