,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.2643070123436898,-0.1393070123436898
sample_2,0.122,0.20175487455106916,-0.07975487455106917
sample_3,0.624,0.602510925641425,0.021489074358574944
sample_4,0.042,-0.0774115305066912,0.1194115305066912
sample_5,0.589,0.5495605550739591,0.0394394449260409
sample_6,0.051,0.1254349323659982,-0.07443493236599821
sample_7,0.771,0.7294068262504878,0.04159317374951221
sample_8,0.775,0.664256532470525,0.11074346752947506
sample_9,0.219,0.32591200589937064,-0.10691200589937064
sample_10,0.12,0.19840344864538648,-0.07840344864538648
sample_11,0.066,0.06743272173756923,-0.0014327217375692258
sample_12,0.037,0.049343756828952506,-0.012343756828952508
sample_13,0.1,0.1630094594181298,-0.0630094594181298
sample_14,0.161,0.04090982019067074,0.12009017980932926
sample_15,0.773,0.7049843894519501,0.06801561054804994
sample_16,0.087,0.0995327677621134,-0.0125327677621134
sample_17,0.511,0.5386422636904202,-0.02764226369042022
sample_18,0.079,-0.037718971136811996,0.116718971136812
sample_19,0.043,0.015984669348994396,0.0270153306510056
sample_20,0.49,0.5587435399727915,-0.06874353997279148
