,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_7,0.771,0.7709999999999995,5.551115123125783e-16
sample_11,0.066,0.06600000000000014,-1.3877787807814457e-16
sample_17,0.511,0.5109999999999999,1.1102230246251565e-16
sample_19,0.043,0.04300000000000048,-4.85722573273506e-16
sample_8,0.775,0.7749999999999997,3.3306690738754696e-16
sample_20,0.49,0.48999999999999955,4.440892098500626e-16
sample_14,0.161,0.16100000000000045,-4.440892098500626e-16
sample_6,0.051,0.051000000000000156,-1.5959455978986625e-16
sample_5,0.589,0.5889999999999997,2.220446049250313e-16
sample_3,0.624,0.6239999999999996,4.440892098500626e-16
sample_18,0.079,0.07900000000000032,-3.191891195797325e-16
sample_10,0.12,0.12000000000000005,-5.551115123125783e-17
sample_9,0.219,0.2190000000000001,-1.1102230246251565e-16
sample_4,0.042,0.042000000000000315,-3.122502256758253e-16
sample_2,0.122,0.122,0.0
