,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_7,0.771,0.717386666666664,0.053613333333336066
sample_11,0.066,0.07293666666666665,-0.0069366666666666466
sample_17,0.511,0.5511599999999982,-0.0401599999999982
sample_19,0.043,0.05563666666666644,-0.012636666666666442
sample_8,0.775,0.7399866666666679,0.03501333333333212
sample_20,0.49,0.4838199999999991,0.006180000000000907
sample_14,0.161,0.15037333333333378,0.010626666666666229
sample_6,0.051,0.07138333333333312,-0.02038333333333312
sample_5,0.589,0.6150466666666655,-0.026046666666665552
sample_3,0.624,0.6109499999999977,0.013050000000002338
sample_18,0.079,0.07349000000000022,0.005509999999999779
sample_10,0.12,0.1401433333333332,-0.020143333333333208
sample_9,0.219,0.25476999999999994,-0.03576999999999994
sample_4,0.042,0.05068666666666657,-0.008686666666666565
sample_2,0.122,0.10937999999999985,0.012620000000000145
