,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_7,0.771,0.7706225849283251,0.0003774150716748803
sample_11,0.066,0.06628227654924179,-0.0002822765492417889
sample_17,0.511,0.5106813625564048,0.0003186374435951711
sample_19,0.043,0.04276090260583637,0.00023909739416362596
sample_8,0.775,0.746817959006012,0.028182040993988022
sample_20,0.49,0.49030912665079035,-0.00030912665079035895
sample_14,0.161,0.16138009773138703,-0.0003800977313870302
sample_6,0.051,0.051354598449478706,-0.00035459844947870883
sample_5,0.589,0.5886765390663304,0.0003234609336695282
sample_3,0.624,0.623777247815135,0.00022275218486500492
sample_18,0.079,0.07861613219648644,0.0003838678035135573
sample_10,0.12,0.12019043617659991,-0.0001904361765999174
sample_9,0.219,0.2193678090229837,-0.000367809022983695
sample_4,0.042,0.04235838852229068,-0.00035838852229067714
sample_2,0.122,0.12217075346803075,-0.00017075346803074876
