,raw material 1,raw material 2,raw material 3,temperature,time
0,0.34,0.38,0.28,48,30
1,0.48,0.12,0.4,97,40
2,0.35000000000000003,0.07,0.58,104,80
3,0.62,0.32,0.06,58,120
4,0.36,0.1,0.54,70,100
5,0.43,0.24,0.33,102,20
6,0.3,0.54,0.16,50,100
7,0.28,0.26,0.46,72,10
8,0.43,0.41000000000000003,0.17,52,80
9,0.52,0.43,0.06,67,120
10,0.67,0.27,0.07,73,20
11,0.23,0.05,0.72,101,120
12,0.24,0.04,0.72,71,20
13,0.33,0.44,0.23,93,120
14,0.2,0.39,0.41000000000000003,108,10
15,0.29,0.06,0.65,103,20
16,0.65,0.33,0.03,78,70
17,0.3,0.28,0.42,84,10
18,0.5,0.36,0.14,98,10
19,0.03,0.31,0.66,82,60
20,0.26,0.36,0.38,66,130
21,0.38,0.15,0.47000000000000003,91,110
22,0.26,0.27,0.46,41,110
23,0.48,0.11,0.41000000000000003,64,50
24,0.41000000000000003,0.49,0.1,77,50
25,0.47000000000000003,0.1,0.43,81,70
26,0.34,0.2,0.46,108,130
27,0.44,0.29,0.26,63,60
28,0.41000000000000003,0.16,0.43,97,40
29,0.39,0.15,0.46,68,100
30,0.23,0.15,0.62,67,50
31,0.13,0.32,0.55,62,110
32,0.24,0.45,0.31,56,120
33,0.11,0.19,0.7000000000000001,82,70
34,0.11,0.5700000000000001,0.32,71,10
35,0.22,0.32,0.46,72,40
36,0.48,0.42,0.09,87,80
37,0.33,0.3,0.37,47,30
38,0.6900000000000001,0.11,0.2,67,70
39,0.75,0.0,0.25,60,80
40,0.41000000000000003,0.11,0.49,74,130
41,0.26,0.27,0.47000000000000003,103,50
42,0.72,0.04,0.23,92,40
43,0.34,0.31,0.35000000000000003,98,130
44,0.45,0.09,0.46,45,40
45,0.48,0.0,0.52,95,50
46,0.48,0.02,0.5,91,50
47,0.5,0.24,0.26,79,20
48,0.8200000000000001,0.03,0.16,73,50
49,0.41000000000000003,0.23,0.36,48,90
50,0.52,0.29,0.19,108,90
51,0.5,0.22,0.29,75,60
52,0.55,0.24,0.21,62,20
53,0.51,0.27,0.22,73,40
54,0.09,0.26,0.65,89,90
55,0.34,0.17,0.49,44,110
56,0.44,0.17,0.4,77,60
57,0.62,0.21,0.17,102,30
58,0.42,0.37,0.2,76,40
59,0.68,0.02,0.3,98,50
60,0.17,0.26,0.56,96,100
61,0.09,0.58,0.33,41,50
62,0.2,0.09,0.71,64,130
63,0.33,0.26,0.41000000000000003,67,60
64,0.37,0.3,0.33,79,60
65,0.34,0.16,0.5,46,110
66,0.27,0.28,0.45,84,120
67,0.37,0.17,0.46,56,80
68,0.21,0.31,0.48,79,110
69,0.56,0.16,0.28,77,100
70,0.31,0.34,0.35000000000000003,42,90
71,0.8300000000000001,0.16,0.01,61,70
72,0.81,0.13,0.06,62,70
73,0.52,0.32,0.17,66,120
74,0.32,0.22,0.46,60,40
75,0.27,0.33,0.4,45,90
76,0.49,0.27,0.24,64,110
77,0.46,0.1,0.44,79,50
78,0.11,0.42,0.47000000000000003,43,60
79,0.03,0.44,0.53,67,80
80,0.29,0.2,0.51,83,90
81,0.35000000000000003,0.59,0.07,88,90
82,0.59,0.26,0.15,83,110
83,0.24,0.25,0.51,71,90
84,0.5,0.28,0.22,97,40
85,0.36,0.23,0.41000000000000003,95,100
