,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.16660651895024062,-0.04160651895024062
sample_2,0.122,0.14688429496213293,-0.02488429496213293
sample_3,0.624,0.6271175300716474,-0.0031175300716473897
sample_4,0.042,0.03234240888954204,0.009657591110457962
sample_5,0.589,0.6407445234625762,-0.051744523462576186
sample_6,0.051,0.04647427188881306,0.004525728111186934
sample_7,0.771,0.7456355533358121,0.025364446664187912
sample_8,0.775,0.6930222071416847,0.0819777928583153
sample_9,0.219,0.24900288604547788,-0.030002886045477878
sample_10,0.12,0.09903490903717438,0.020965090962825617
sample_11,0.066,0.07271461511565927,-0.006714615115659267
sample_12,0.037,0.050179271536261366,-0.013179271536261368
sample_13,0.1,0.07325222428550762,0.026747775714492383
sample_14,0.161,0.012533614725722897,0.1484663852742771
sample_15,0.773,0.6566665933592789,0.11633340664072112
sample_16,0.087,0.14183106641875987,-0.05483106641875987
sample_17,0.511,0.5099392439930086,0.0010607560069914035
sample_18,0.079,0.04103933489279141,0.037960665107208594
sample_19,0.043,0.00795442616621872,0.03504557383378128
sample_20,0.49,0.5102728945672361,-0.020272894567236133
