,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_1,0.125,0.12504670938983292,-0.00004670938983292183,0.001260551804919069
sample_2,0.122,0.12201446872537708,-0.000014468725377081437,0.0012611306872490136
sample_3,0.624,0.6240070655552277,-7.06555522766994e-6,0.0012610244166334375
sample_4,0.042,0.042001990706310555,-1.9907063105520373e-6,0.0012611513318602878
sample_5,0.589,0.5890107350739064,-0.00001073507390647599,0.0012612401180713358
sample_6,0.051,0.050999144527452495,8.55472547502123e-7,0.0012606838931140923
sample_7,0.771,0.7709989523714452,1.0476285547955655e-6,0.0012611949084457223
sample_8,0.775,0.7749652135221499,0.000034786477850157205,0.0012611619806043104
sample_9,0.219,0.21900945120353715,-9.451203537153008e-6,0.0012611170178789379
sample_10,0.12,0.1199533503473228,0.00004664965267719978,0.0012605006982345632
sample_11,0.066,0.06599915194483061,8.480551693945682e-7,0.0012611665952636762
sample_12,0.037,0.03702117697662588,-0.000021176976625882082,0.0012603162151926428
sample_13,0.1,0.09996589652580887,0.00003410347419113835,0.0012608997094245467
sample_14,0.161,0.16098877186642446,0.000011228133575541532,0.0012612786787332304
sample_15,0.773,0.7729891446909274,0.000010855309072632657,0.0012612270917805766
sample_16,0.087,0.08704178042912708,-0.00004178042912708624,0.001261037509810623
sample_17,0.511,0.5110048020491256,-4.802049125562924e-6,0.0012611889829527868
sample_18,0.079,0.07897650239080248,0.000023497609197523084,0.001261111105059064
sample_19,0.043,0.04299254698269006,7.45301730993575e-6,0.0012611601033929373
sample_20,0.49,0.4900108732561119,-0.000010873256111931795,0.001261062568418504
