"",actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,3.962457914,4.058069034499649,-0.09561112049964926
sample_2,4.957531646,4.526290986305206,0.43124065969479375
sample_3,3.761157692,3.536579583647734,0.224578108352266
sample_4,5.135731947,5.134146963812559,0.001584983187441047
sample_5,5.353029989,5.35484112538847,-0.0018111363884694143
sample_6,1.470305703,1.4642630705082142,0.0060426324917857155
sample_7,5.284255841,5.0382081494190505,0.24604769158094975
sample_8,-1.692795659,-1.6882457928025731,-0.004549866197426811
sample_9,0.318350522,0.09022070590056552,0.2281298160994345
sample_10,7.595665777,7.594237116174871,0.0014286608251286026
sample_11,7.47676631,7.477061450906906,-0.0002951409069060773
sample_12,6.461214337,7.068550474993479,-0.607336137993479
sample_13,3.695214767,3.6934918771694947,0.0017228898305052809
sample_14,1.795978781,1.8127842707593744,-0.016805489759374348
sample_15,3.322269738,3.3227336636863005,-0.00046392568630038156
sample_16,6.667143385,6.468610943924832,0.19853244107516854
sample_17,-0.075899232,-0.07304305468017835,-0.002856177319821643
sample_18,-0.964156105,-1.3543643499014602,0.3902082449014601
sample_19,5.215833992,5.034129855617688,0.18170413638231242
sample_20,5.902584574,5.354278049856301,0.5483065241436984
sample_21,3.252161534,3.6293684032797127,-0.3772068692797128
sample_22,7.032785956,7.032469881343068,0.0003160746569319528
sample_23,4.439717308,4.438752719228538,0.0009645887714615498
sample_24,2.675372141,2.6757058111858956,-0.00033367018589558484
sample_25,2.996892206,3.178055944177588,-0.18116373817758813
sample_26,-2.973772978,-2.5890691073128513,-0.3847038706871486
sample_27,1.85785316,1.4436148178924109,0.41423834210758903
sample_28,2.165138123,2.679576020778411,-0.5144378977784108
sample_29,5.596916809,5.596789497275814,0.00012731172418600778
sample_30,3.389837945,3.3921985372933308,-0.0023605922933307433
