,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.14903109938546483,-0.024031099385464827
sample_2,0.122,0.08874368793288448,0.03325631206711552
sample_3,0.624,0.6248887918917552,-0.0008887918917551696
sample_4,0.042,0.05090205819872512,-0.008902058198725117
sample_5,0.589,0.61555731168773,-0.026557311687730012
sample_6,0.051,0.057723578404814596,-0.006723578404814599
sample_7,0.771,0.7833174583010063,-0.012317458301006279
sample_8,0.775,0.7453684091835618,0.02963159081643818
sample_9,0.219,0.2160798088703784,0.0029201911296216077
sample_10,0.12,0.09260339104198625,0.02739660895801374
sample_11,0.066,0.04528568853970555,0.020714311460294454
sample_12,0.037,0.0534850741051478,-0.016485074105147803
sample_13,0.1,0.09300499584241881,0.006995004157581197
sample_14,0.161,0.10696814875078722,0.05403185124921278
sample_15,0.773,0.7739429393453311,-0.000942939345331073
sample_16,0.087,0.11200631902085079,-0.025006319020850792
sample_17,0.511,0.5210610863588799,-0.010061086358879923
sample_18,0.079,0.07356991112170322,0.005430088878296782
sample_19,0.043,0.03228721174977178,0.010712788250228214
sample_20,0.49,0.4712934494891792,0.01870655051082082
