,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.14361587711688698,-0.018615877116886975
sample_2,0.122,0.11304775239433143,0.008952247605668567
sample_3,0.624,0.621753249390175,0.0022467506098250434
sample_4,0.042,0.04624040403143018,-0.004240404031430174
sample_5,0.589,0.6006462824736474,-0.011646282473647407
sample_6,0.051,0.05664350481610855,-0.005643504816108556
sample_7,0.771,0.7774383343292915,-0.0064383343292915285
sample_8,0.775,0.7604808386727597,0.014519161327240293
sample_9,0.219,0.2188468115662838,0.0001531884337162004
sample_10,0.12,0.10411150182326379,0.01588849817673621
sample_11,0.066,0.05767655229549379,0.008323447704506215
sample_12,0.037,0.05019295251458211,-0.013192952514582114
sample_13,0.1,0.09391626403727801,0.006083735962721992
sample_14,0.161,0.15399221874082836,0.007007781259171647
sample_15,0.773,0.773698823388498,-0.0006988233884980266
sample_16,0.087,0.10274229356257142,-0.015742293562571424
sample_17,0.511,0.511768919802923,-0.0007689198029230404
sample_18,0.079,0.07717335825561147,0.0018266417443885269
sample_19,0.043,0.03528508375060957,0.007714916249390427
sample_20,0.49,0.48520356435096973,0.004796435649030262
