,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.16660651895024012,-0.04160651895024012
sample_2,0.122,0.14688429496213065,-0.024884294962130654
sample_3,0.624,0.6271175300716458,-0.0031175300716458354
sample_4,0.042,0.03234240888872647,0.009657591111273532
sample_5,0.589,0.6407445234625755,-0.05174452346257552
sample_6,0.051,0.04647427188880454,0.004525728111195455
sample_7,0.771,0.7456355533356149,0.025364446664385087
sample_8,0.775,0.6930222071416807,0.0819777928583193
sample_9,0.219,0.2490028860454646,-0.03000288604546461
sample_10,0.12,0.09903490903717388,0.020965090962826116
sample_11,0.066,0.07271461511565477,-0.006714615115654771
sample_12,0.037,0.050179271534227965,-0.013179271534227967
sample_13,0.1,0.07325223963524466,0.026747760364755346
sample_14,0.161,0.012533318465805965,0.14846668153419404
sample_15,0.773,0.656666593359283,0.11633340664071701
sample_16,0.087,0.14183106641875048,-0.05483106641875049
sample_17,0.511,0.5099392439930042,0.0010607560069958444
sample_18,0.079,0.04103933489278816,0.03796066510721184
sample_19,0.043,0.007954426156689787,0.03504557384331021
sample_20,0.49,0.5102728945672275,-0.020272894567227473
