,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.3107944843325721,-0.18579448433257212
sample_2,0.122,0.24125264637742205,-0.11925264637742206
sample_3,0.624,0.5900976055547531,0.0339023944452469
sample_4,0.042,0.03047002405132304,0.011529975948676961
sample_5,0.589,0.5910921657338393,-0.002092165733839302
sample_6,0.051,0.17098138165467353,-0.11998138165467354
sample_7,0.771,0.6617103580478694,0.10928964195213065
sample_8,0.775,0.6614249838382797,0.11357501616172028
sample_9,0.219,0.3808187452261681,-0.1618187452261681
sample_10,0.12,0.24002413819049478,-0.12002413819049479
sample_11,0.066,0.10074488465284678,-0.03474488465284678
sample_12,0.037,0.10077965915456877,-0.06377965915456876
sample_13,0.1,0.23981843338329883,-0.13981843338329883
sample_14,0.161,0.09908031952970286,0.06191968047029714
sample_15,0.773,0.6606607757881271,0.11233922421187292
sample_16,0.087,0.16924873184888195,-0.08224873184888196
sample_17,0.511,0.5196655309255945,-0.008665530925594522
sample_18,0.079,0.031421814106976365,0.047578185893023636
sample_19,0.043,0.10091222586036477,-0.05791222586036478
sample_20,0.49,0.5214793144546173,-0.03147931445461727
