"",actual_y,error_of_y(actual_y-estimated_y)
sample_1,1.556572063,0.208266523504554
sample_2,-2.223486445,-0.01711953344744721
sample_3,0.53255007,0.10811244945385168
sample_4,-3.932083923,-0.057847247293621784
sample_5,-2.15668109,0.053705920035037824
sample_6,-0.568406517,-0.025597856200188063
sample_7,0.412452142,0.2209959429171532
sample_8,1.997437829,0.3323702065481473
sample_9,2.257829108,-0.3416059174075299
sample_10,-1.196575193,-0.05247397384513719
sample_11,-1.886941521,0.10268244323761855
sample_12,-3.809209988,-0.3925476055522781
sample_13,-1.649286117,-0.11687971120358798
sample_14,-0.321092142,0.04139334650870152
sample_15,-0.765568967,0.18494912148527864
sample_16,-1.850809623,-0.10519153363439981
sample_17,-0.68992493,-0.07434374693372237
sample_18,1.55038033,-0.013070589850879832
sample_19,-3.327200761,0.0020470999680464175
sample_20,-0.71518851,-0.11197686907769866
sample_21,-2.289500675,0.16529825619905703
sample_22,-0.86103002,-0.014730416422507608
sample_23,-4.223350076,0.06893802234688717
sample_24,-0.569564796,-0.05030189416111297
sample_25,-1.831920845,-0.1317415330289755
sample_26,3.252993521,0.11062488292940786
sample_27,-0.040978586,0.08557913262757526
sample_28,2.118231293,0.26161425256347615
sample_29,-2.007604067,-0.03046404641104017
sample_30,-0.071356476,0.012422463652194626
