,SMILES
0,BrC(CC1=NC=NC1)C(Br)c1c2c(oc3c1CCc1ccccc1-3)-c1ccccc1CC2
1,BrC(Nc1nsc2ccccc12)c1ncccn1
2,BrCC(Br)Cc1nnc2sc(COC3Cc4ccccc43)nn12
3,Brc1cccc(Nc2cc3nnnc3cc2-c2ncc3nccnc3n2)c1
4,Brc1cccc2c(Cc3cccc(-c4ccc5c6c(cccc46)CC5)n3)cccc12
5,C#CC(C)C(=O)CCC(C(=O)O)C1CN=CC=N1
6,C#CC(C)C(CN(CC(c1ccc(NN=C2C(=O)NC(=O)NC2=O)cc1)C1OC(=O)C(OC)=C1OC)N=O)N(C)C
7,C#CC(C)C1C2CCC(O2)C1NC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O
8,C#CC(C)C1CCC2C3CCCC3(C)CCC2C1(C)OC1CCC2(C)C(CCC3C4CCCC4(C)CCC32)C1
9,C#CC(C)C1Cc2c3c(c4c(c2CC1c1cc(Cl)ccc1Cl)CC(SC)C(C12OC(C)(C)OC1CC1C5CCC6=CC(=O)C=CC6(C)C5(F)C(O)CC12C)C4)CC(S(=O)(=O)C(F)(F)F)C(Cc1ccncc1)C3
10,C#CC(C)CC(CC(C)C)(CC1CC(=O)CC(=O)C1C#N)C(=O)c1cc(C)cc(C)c1
11,C#CC(C)CCC(=O)C=COc1csc(C(C#N)=NNc2cccc(C)c2)n1
12,C#CC(C)Cc1cncc2cc(O)c(C(=O)CBr)cc12
13,C#CC(C)N(CN1CCCCC1)S(O)(O)c1ccc(OC2CCC3C4CCC5CC(O)(C#C)CCC5(C)C4CCC23C)cc1
14,C#CC(C)N1c2ccccc2Sc2ccc(OCCC)cc21
15,C#CC(C)Nc1ccccc1NNC1CC2CC1C1CCCC21
16,C#CC(C)OC1CC2(OC(=O)O)C(=C)C(=O)C34C(CC5C(C)(C)CCC(Oc6ccc7c(c6)C(=O)C7)C5(C)C13)OC(C)(C)OC24
17,C#CC(C)Oc1cc2c(cc1NC(=S)c1ccccc1)CCNC2CC(C)C
18,C#CC(C)Sc1nnc(-n2c(=O)n3n(c2=O)C(C(=O)O)C=CC3)n1ON(C=C1C(=O)C2(C)CCC1C2(C)C)c1ccccc1
19,C#CC(C)c1ccc2c(c1)c(OC(C)C(=O)O)c(C)n2C(=O)c1cc(Br)cc(Br)c1N
20,C#CC(C)c1oc2ccccc2c1-c1ccc2c3c(c4c(c2c1)CCCC4)CCCC3
21,C#CC1(O)CCC2(C)C(CCC3C2CCC2(C)C(OC(C(=O)C4CC(c5ccccc5)c5ccccc54)c4cc(N(=O)O)ccc4O)CCC32)C1
22,C#CC1(O)CCC2(C)C(CCC3C2CCC2(C)C(OC4(C)CCCC5(C)C6CCC7CC6(CCC45)CC7(c4cc(=O)oc5ccccc45)n4nc(S(C)(O)O)c(C#N)c4N)CCC32)C1
23,C#CC1(O)CCC2(C)C(CCC3C2CCC2(C)C(OC4OC(Nc5cccnc5)C(Oc5nnc(C)c5C)C4OC(C)C=NNc4ccc(N(=O)O)cc4N(=O)O)CCC32)C1
24,C#CC1(O)CCC2(C)C(CCC3C2CCC2(C)C(OCc4ccc(N=N(O)c5ccc(Cc6ccc7c8c(ccc(N(=O)O)c68)CC7)cc5)cc4)CCC32)C1
25,C#CC1(O)CCC2(C)C(CCC3C2CCC2(C)C(ON4CCC(n5ncc(N)c(Cl)c5=O)CC4)CCC32)C1
