,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.3806490938208015,-0.2556490938208015
sample_2,0.122,0.34087683665873236,-0.21887683665873237
sample_3,0.624,0.45648852187817607,0.16751147812182393
sample_4,0.042,0.2551047352676499,-0.21310473526764986
sample_5,0.589,0.4284618423549727,0.16053815764502727
sample_6,0.051,0.3282655492811673,-0.2772655492811673
sample_7,0.771,0.48923243581455006,0.28176756418544996
sample_8,0.775,0.4621006703130078,0.31289932968699224
sample_9,0.219,0.395394351304687,-0.17639435130468697
sample_10,0.12,0.35127928447103135,-0.23127928447103135
sample_11,0.066,0.33038905759133463,-0.26438905759133463
sample_12,0.037,0.2974718964469662,-0.2604718964469662
sample_13,0.1,0.3438976186239814,-0.24389761862398138
sample_14,0.161,0.2924720187619392,-0.13147201876193917
sample_15,0.773,0.47043174372566365,0.30256825627433637
sample_16,0.087,0.30828080259022866,-0.22128080259022867
sample_17,0.511,0.44937270090126064,0.061627299098739374
sample_18,0.079,0.25988212033135666,-0.18088212033135664
sample_19,0.043,0.2926491301430689,-0.24964913014306894
sample_20,0.49,0.437286372444997,0.05271362755500297
