actual_y,estimated_y,error_of_y(actual_y-estimated_y)
0.771,0.7709999999999997,3.3306690738754696e-16
0.066,0.06599999999999995,5.551115123125783e-17
0.511,0.5109999999999998,2.220446049250313e-16
0.043,0.04300000000000059,-5.967448757360216e-16
0.775,0.7749999999999998,2.220446049250313e-16
0.49,0.48999999999999977,2.220446049250313e-16
0.161,0.16100000000000028,-2.7755575615628914e-16
0.051,0.05100000000000038,-3.8163916471489756e-16
0.589,0.5889999999999999,1.1102230246251565e-16
0.624,0.624,0.0
0.079,0.07900000000000007,-6.938893903907228e-17
0.12,0.11999999999999983,1.6653345369377348e-16
0.219,0.21900000000000025,-2.498001805406602e-16
0.042,0.041999999999999926,7.632783294297951e-17
0.122,0.12199999999999978,2.220446049250313e-16
