raw material 1,raw material 2,raw material 3,temperature,time
0.34,0.38,0.28,48,30
0.48,0.12,0.4,97,40
0.35000000000000003,0.07,0.58,104,80
0.62,0.32,0.06,58,120
0.36,0.1,0.54,70,100
0.43,0.24,0.33,102,20
0.3,0.54,0.16,50,100
0.28,0.26,0.46,72,10
0.43,0.41000000000000003,0.17,52,80
0.52,0.43,0.06,67,120
0.67,0.27,0.07,73,20
0.23,0.05,0.72,101,120
0.24,0.04,0.72,71,20
0.33,0.44,0.23,93,120
0.2,0.39,0.41000000000000003,108,10
0.29,0.06,0.65,103,20
0.65,0.33,0.03,78,70
0.3,0.28,0.42,84,10
0.5,0.36,0.14,98,10
0.03,0.31,0.66,82,60
0.26,0.36,0.38,66,130
0.38,0.15,0.47000000000000003,91,110
0.26,0.27,0.46,41,110
0.48,0.11,0.41000000000000003,64,50
0.41000000000000003,0.49,0.1,77,50
0.47000000000000003,0.1,0.43,81,70
0.34,0.2,0.46,108,130
0.44,0.29,0.26,63,60
0.41000000000000003,0.16,0.43,97,40
0.39,0.15,0.46,68,100
0.23,0.15,0.62,67,50
0.13,0.32,0.55,62,110
0.24,0.45,0.31,56,120
0.11,0.19,0.7000000000000001,82,70
0.11,0.5700000000000001,0.32,71,10
0.22,0.32,0.46,72,40
0.48,0.42,0.09,87,80
0.33,0.3,0.37,47,30
0.6900000000000001,0.11,0.2,67,70
0.75,0.0,0.25,60,80
0.41000000000000003,0.11,0.49,74,130
0.26,0.27,0.47000000000000003,103,50
0.72,0.04,0.23,92,40
0.34,0.31,0.35000000000000003,98,130
0.45,0.09,0.46,45,40
0.48,0.0,0.52,95,50
0.48,0.02,0.5,91,50
0.5,0.24,0.26,79,20
0.8200000000000001,0.03,0.16,73,50
0.41000000000000003,0.23,0.36,48,90
0.52,0.29,0.19,108,90
0.5,0.22,0.29,75,60
0.55,0.24,0.21,62,20
0.51,0.27,0.22,73,40
0.09,0.26,0.65,89,90
0.34,0.17,0.49,44,110
0.44,0.17,0.4,77,60
0.62,0.21,0.17,102,30
0.42,0.37,0.2,76,40
0.68,0.02,0.3,98,50
