index,raw material 1,raw material 2,raw material 3,temperature,time
1,0.34,0.38,0.28,48.0,30.0
2,0.48,0.12,0.4,97.0,40.0
3,0.35000000000000003,0.07,0.58,104.0,80.0
4,0.62,0.32,0.06,58.0,120.0
5,0.36,0.1,0.54,70.0,100.0
6,0.43,0.24,0.33,102.0,20.0
7,0.3,0.54,0.16,50.0,100.0
8,0.28,0.26,0.46,72.0,10.0
9,0.43,0.41000000000000003,0.17,52.0,80.0
10,0.52,0.43,0.06,67.0,120.0
11,0.67,0.27,0.07,73.0,20.0
12,0.23,0.05,0.72,101.0,120.0
13,0.24,0.04,0.72,71.0,20.0
14,0.33,0.44,0.23,93.0,120.0
15,0.2,0.39,0.41000000000000003,108.0,10.0
16,0.29,0.06,0.65,103.0,20.0
17,0.65,0.33,0.03,78.0,70.0
18,0.3,0.28,0.42,84.0,10.0
19,0.5,0.36,0.14,98.0,10.0
20,0.03,0.31,0.66,82.0,60.0
21,0.26,0.36,0.38,66.0,130.0
22,0.38,0.15,0.47000000000000003,91.0,110.0
23,0.26,0.27,0.46,41.0,110.0
24,0.48,0.11,0.41000000000000003,64.0,50.0
25,0.41000000000000003,0.49,0.1,77.0,50.0
26,0.47000000000000003,0.1,0.43,81.0,70.0
27,0.34,0.2,0.46,108.0,130.0
28,0.44,0.29,0.26,63.0,60.0
29,0.41000000000000003,0.16,0.43,97.0,40.0
30,0.39,0.15,0.46,68.0,100.0
31,0.23,0.15,0.62,67.0,50.0
32,0.13,0.32,0.55,62.0,110.0
33,0.24,0.45,0.31,56.0,120.0
34,0.11,0.19,0.7000000000000001,82.0,70.0
35,0.11,0.5700000000000001,0.32,71.0,10.0
36,0.22,0.32,0.46,72.0,40.0
37,0.48,0.42,0.09,87.0,80.0
38,0.33,0.3,0.37,47.0,30.0
39,0.6900000000000001,0.11,0.2,67.0,70.0
40,0.75,0.0,0.25,60.0,80.0
41,0.41000000000000003,0.11,0.49,74.0,130.0
42,0.26,0.27,0.47000000000000003,103.0,50.0
43,0.72,0.04,0.23,92.0,40.0
