,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.28069001263806936,-0.15569001263806936
sample_2,0.122,0.21347585268663427,-0.09147585268663427
sample_3,0.624,0.5890291034843003,0.034970896515699734
sample_4,0.042,-0.11154301948281325,0.15354301948281326
sample_5,0.589,0.5158597652455124,0.07314023475448761
sample_6,0.051,0.13435638983874368,-0.08335638983874369
sample_7,0.771,0.7442928477578346,0.026707152242165466
sample_8,0.775,0.6291852646586537,0.14581473534134637
sample_9,0.219,0.35629085029315233,-0.13729085029315233
sample_10,0.12,0.2094888584755059,-0.08948885847550592
sample_11,0.066,0.08010132098454673,-0.014101320984546722
sample_12,0.037,0.04823633290409571,-0.01123633290409571
sample_13,0.1,0.17009212955195044,-0.07009212955195043
sample_14,0.161,-0.055917439802848856,0.21691743980284886
sample_15,0.773,0.6719329683119097,0.10106703168809028
sample_16,0.087,0.11094512966865286,-0.023945129668652865
sample_17,0.511,0.5543925400582963,-0.04339254005829629
sample_18,0.079,-0.06835462067046244,0.14735462067046246
sample_19,0.043,0.006504909326207897,0.0364950906737921
sample_20,0.49,0.5634096808266911,-0.07340968082669108
