,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.2643070123436898,-0.1393070123436898
sample_2,0.122,0.20175487455106922,-0.07975487455106922
sample_3,0.624,0.6025109256414247,0.021489074358575277
sample_4,0.042,-0.07741153050669092,0.11941153050669093
sample_5,0.589,0.5495605550739588,0.03943944492604112
sample_6,0.051,0.12543493236599834,-0.07443493236599835
sample_7,0.771,0.7294068262504876,0.041593173749512435
sample_8,0.775,0.6642565324705247,0.11074346752947528
sample_9,0.219,0.32591200589937064,-0.10691200589937064
sample_10,0.12,0.1984034486453865,-0.07840344864538651
sample_11,0.066,0.06743272173756945,-0.0014327217375694479
sample_12,0.037,0.04934375682895273,-0.01234375682895273
sample_13,0.1,0.1630094594181298,-0.0630094594181298
sample_14,0.161,0.04090982019067091,0.1200901798093291
sample_15,0.773,0.7049843894519497,0.06801561054805028
sample_16,0.087,0.09953276776211345,-0.012532767762113456
sample_17,0.511,0.53864226369042,-0.02764226369042
sample_18,0.079,-0.03771897113681172,0.11671897113681172
sample_19,0.043,0.015984669348994673,0.027015330651005323
sample_20,0.49,0.5587435399727914,-0.06874353997279137
