,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_7,0.771,0.70406107375453,0.06693892624547004
sample_11,0.066,0.0660527261126303,-5.272611263029692e-05
sample_17,0.511,0.5383517797587062,-0.027351779758706174
sample_19,0.043,0.05154795990291999,-0.008547959902919997
sample_8,0.775,0.6718491781888927,0.10315082181110735
sample_20,0.49,0.5380650648870394,-0.04806506488703943
sample_14,0.161,0.06810164864846346,0.09289835135153654
sample_6,0.051,0.1422388993575621,-0.0912388993575621
sample_5,0.589,0.5718641221402456,0.017135877859754345
sample_3,0.624,0.6027449792031696,0.021255020796830393
sample_18,0.079,-0.021689421464918257,0.10068942146491826
sample_10,0.12,0.21018965773290155,-0.09018965773290155
sample_9,0.219,0.3563777055969113,-0.1373777055969113
sample_4,0.042,-0.04354849871213773,0.08554849871213774
sample_2,0.122,0.20679312489308335,-0.08479312489308335
