,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_7,0.771,0.7709999999999995,5.551115123125783e-16
sample_11,0.066,0.0660000000000002,-1.942890293094024e-16
sample_17,0.511,0.5109999999999999,1.1102230246251565e-16
sample_19,0.043,0.04300000000000054,-5.412337245047638e-16
sample_8,0.775,0.7749999999999995,5.551115123125783e-16
sample_20,0.49,0.4899999999999999,1.1102230246251565e-16
sample_14,0.161,0.1610000000000003,-3.0531133177191805e-16
sample_6,0.051,0.05100000000000027,-2.706168622523819e-16
sample_5,0.589,0.5889999999999994,5.551115123125783e-16
sample_3,0.624,0.6239999999999997,3.3306690738754696e-16
sample_18,0.079,0.07900000000000038,-3.7470027081099033e-16
sample_10,0.12,0.1200000000000001,-1.1102230246251565e-16
sample_9,0.219,0.2189999999999998,1.942890293094024e-16
sample_4,0.042,0.042000000000000315,-3.122502256758253e-16
sample_2,0.122,0.12200000000000005,-5.551115123125783e-17
