,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_7,0.771,0.7169233333333304,0.05407666666666966
sample_11,0.066,0.07173666666666662,-0.005736666666666612
sample_17,0.511,0.5562666666666649,-0.0452666666666649
sample_19,0.043,0.057136666666666426,-0.01413666666666643
sample_8,0.775,0.7430400000000008,0.03195999999999921
sample_20,0.49,0.4915466666666659,-0.001546666666665919
sample_14,0.161,0.14512666666666713,0.01587333333333288
sample_6,0.051,0.0703233333333331,-0.019323333333333102
sample_5,0.589,0.6237233333333324,-0.03472333333333244
sample_3,0.624,0.615453333333331,0.008546666666669034
sample_18,0.079,0.0742700000000002,0.004729999999999804
sample_10,0.12,0.13709666666666664,-0.01709666666666665
sample_9,0.219,0.25094999999999973,-0.03194999999999973
sample_4,0.042,0.0515166666666666,-0.009516666666666597
sample_2,0.122,0.10640999999999985,0.015590000000000145
