,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_7,0.771,0.5779167793627451,0.19308322063725492
sample_11,0.066,0.10106758687872108,-0.03506758687872108
sample_17,0.511,0.4838978416578903,0.027102158342109717
sample_19,0.043,0.07834955784944697,-0.035349557849446975
sample_8,0.775,0.5541207511713989,0.2208792488286011
sample_20,0.49,0.45489592826763015,0.035104071732369846
sample_14,0.161,0.12595065572449524,0.03504934427550477
sample_6,0.051,0.15018928677552001,-0.09918928677552002
sample_5,0.589,0.4827717338004115,0.10622826619958847
sample_3,0.624,0.5271010179092978,0.09689898209070225
sample_18,0.079,0.017163259507827988,0.06183674049217201
sample_10,0.12,0.2237321187505973,-0.10373211875059729
sample_9,0.219,0.3171028020435753,-0.09810280204357533
sample_4,0.042,0.016806940284589234,0.02519305971541077
sample_2,0.122,0.20009363341604242,-0.07809363341604242
