,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_7,0.771,0.7782126078616038,-0.007212607861603826,0.013643653049293672
sample_11,0.066,0.06404129601982939,0.0019587039801706174,0.013288960529130948
sample_17,0.511,0.512578741761843,-0.0015787417618430277,0.014389388871960073
sample_19,0.043,0.038640293891221866,0.00435970610877813,0.012551103253259423
sample_8,0.775,0.7606926985995316,0.01430730140046843,0.013185933152713585
sample_20,0.49,0.48610530120725803,0.0038946987927419574,0.013983872870220255
sample_14,0.161,0.1597049764339724,0.0012950235660275922,0.015052013267375309
sample_6,0.051,0.06317676949893941,-0.012176769498939415,0.011988411818768023
sample_5,0.589,0.5999487154771971,-0.010948715477197113,0.01323891999290866
sample_3,0.624,0.6217801683627034,0.0022198316372965543,0.013950932648820365
sample_18,0.079,0.07633865283280358,0.002661347167196418,0.014378300076638418
sample_10,0.12,0.11480451240850603,0.0051954875914939636,0.013296393155182638
sample_9,0.219,0.22332775862085213,-0.004327758620852135,0.01328095456065649
sample_4,0.042,0.046922629321128895,-0.004922629321128892,0.013455055084333164
sample_2,0.122,0.11636237134851724,0.005637628651482762,0.013992064465327027
