,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_7,0.771,0.6915735842268158,0.07942641577318421,0.1036447920475537
sample_11,0.066,0.07246352167235914,-0.0064635216723591404,0.09879338360822783
sample_17,0.511,0.5334643248721374,-0.022464324872137342,0.1001183175130824
sample_19,0.043,0.05961911378811463,-0.016619113788114634,0.10017721337625116
sample_8,0.775,0.6607948550062743,0.1142051449937257,0.09793827638804964
sample_20,0.49,0.5300267267946401,-0.040026726794640144,0.09769874066219225
sample_14,0.161,0.07805427465859335,0.08294572534140665,0.10605329964784235
sample_6,0.051,0.1473321900818503,-0.09633219008185032,0.09492243762627163
sample_5,0.589,0.5635541373119326,0.025445862688067367,0.10442487507648737
sample_3,0.624,0.594976253971915,0.029023746028084996,0.0969414156687128
sample_18,0.079,-0.013088725778764576,0.09208872577876458,0.0975985516886306
sample_10,0.12,0.21362251166081184,-0.09362251166081184,0.09419460776046118
sample_9,0.219,0.35562522199460234,-0.13662522199460234,0.0971384581120424
sample_4,0.042,-0.03345222049993296,0.07545222049993297,0.10006892202584917
sample_2,0.122,0.2084342302386523,-0.0864342302386523,0.09478787633635222
