,raw material 1,raw material 2,raw material 3,temperature,time
8360,0.43,0.15,0.42,75.0,80.0
7842,0.36,0.41,0.23,85.0,50.0
9377,0.43,0.26,0.31,48.0,120.0
5867,0.5,0.28,0.22,58.0,130.0
2552,0.36,0.24,0.4,56.0,60.0
6938,0.41,0.08,0.51,74.0,40.0
1267,0.81,0.12,0.07,98.0,10.0
200,0.2,0.35,0.45,91.0,90.0
7678,0.55,0.24,0.22,51.0,130.0
3832,0.34,0.47,0.2,65.0,90.0
6504,0.53,0.34,0.12,62.0,50.0
3540,0.4,0.34,0.26,110.0,60.0
2973,0.48,0.01,0.51,64.0,80.0
3434,0.75,0.24,0.01,88.0,80.0
994,0.14,0.55,0.32,51.0,100.0
8054,0.37,0.04,0.59,60.0,90.0
757,0.53,0.02,0.46,103.0,130.0
6280,0.6,0.08,0.32,103.0,110.0
9102,0.19,0.18,0.63,52.0,80.0
4338,0.63,0.07,0.31,69.0,80.0
691,0.75,0.15,0.1,93.0,90.0
4490,0.3,0.32,0.38,76.0,120.0
9133,0.17,0.24,0.58,48.0,40.0
7674,0.59,0.26,0.15,71.0,110.0
8399,0.25,0.1,0.66,73.0,20.0
8598,0.46,0.22,0.32,87.0,80.0
4714,0.67,0.1,0.23,58.0,110.0
3127,0.15,0.41,0.43,106.0,50.0
294,0.41,0.29,0.29,68.0,90.0
2143,0.38,0.1,0.52,66.0,40.0
