,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_1,0.125,0.12504670938983098,-4.670938983097894e-05,0.0012605518049330806
sample_2,0.122,0.12201446872537416,-1.4468725374167102e-05,0.0012611306872490134
sample_3,0.624,0.6240070655552216,-7.065555221563713e-06,0.0012610244166054243
sample_4,0.042,0.042001990706310166,-1.9907063101634592e-06,0.0012611513318462823
sample_5,0.589,0.5890107350739084,-1.073507390847439e-05,0.0012612401180993437
sample_6,0.051,0.05099914452744861,8.554725513879036e-07,0.001260683893114092
sample_7,0.771,0.7709989523714411,1.0476285589033907e-06,0.0012611949084317176
sample_8,0.775,0.7749652135221469,3.478647785315481e-05,0.0012611619806043102
sample_9,0.219,0.21900945120354223,-9.451203542232278e-06,0.0012611170179489645
sample_10,0.12,0.11995335034731885,4.6649652681141074e-05,0.0012605006982205507
sample_11,0.066,0.06599915194483322,8.48055166785544e-07,0.0012611665952216617
sample_12,0.037,0.03702117697662749,-2.1176976627491906e-05,0.0012603162151646138
sample_13,0.1,0.09996589652580795,3.4103474192054284e-05,0.001260899709452562
sample_14,0.161,0.16098877186642055,1.1228133579455069e-05,0.0012612786787612373
sample_15,0.773,0.7729891446909203,1.0855309079738085e-05,0.001261227091850597
sample_16,0.087,0.08704178042912417,-4.17804291241719e-05,0.0012610375098246291
sample_17,0.511,0.5110048020491245,-4.802049124452701e-06,0.001261188983022809
sample_18,0.079,0.07897650239079856,2.349760920143662e-05,0.0012611111050590638
sample_19,0.043,0.04299254698268917,7.453017310823928e-06,0.0012611601033229128
sample_20,0.49,0.490010873256114,-1.0873256113985708e-05,0.0012610625684605216
