,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
sample_1,0.125,0.1666065189502392,-0.0416065189502392
sample_2,0.122,0.14688429496212774,-0.02488429496212774
sample_3,0.624,0.6271175300716638,-0.003117530071663821
sample_4,0.042,0.03234240888714757,0.009657591112852436
sample_5,0.589,0.6407445234626443,-0.051744523462644354
sample_6,0.051,0.04647427188876305,0.00452572811123695
sample_7,0.771,0.7456355533352793,0.025364446664720708
sample_8,0.775,0.6930222071417187,0.08197779285828133
sample_9,0.219,0.24900288604544113,-0.03000288604544113
sample_10,0.12,0.09903490903718351,0.020965090962816485
sample_11,0.066,0.07271461511563884,-0.006714615115638839
sample_12,0.037,0.05017927152214652,-0.01317927152214652
sample_13,0.1,0.07325223697496827,0.026747763025031734
sample_14,0.161,0.012533313431733695,0.1484666865682663
sample_15,0.773,0.6566665933592881,0.1163334066407119
sample_16,0.087,0.1418310664187622,-0.0548310664187622
sample_17,0.511,0.5099392439930284,0.0010607560069716415
sample_18,0.079,0.04103933489278627,0.03796066510721373
sample_19,0.043,0.00795442624181697,0.03504557375818303
sample_20,0.49,0.5102728945672349,-0.02027289456723491
