,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
sample_1,0.125,0.12504670938983098,-4.670938983097894e-05,0.0012605518048910457
sample_2,0.122,0.12201446872538169,-1.4468725381688863e-05,0.0012611306873050343
sample_3,0.624,0.6240070655552306,-7.0655552305565195e-06,0.001261024416591418
sample_4,0.042,0.04200199070631366,-1.9907063136606618e-06,0.0012611513319023022
sample_5,0.589,0.5890107350739104,-1.0735073910472792e-05,0.0012612401181133475
sample_6,0.051,0.05099914452745061,8.554725493895021e-07,0.0012606838931000818
sample_7,0.771,0.7709989523714422,1.0476285577931677e-06,0.0012611949084037086
sample_8,0.775,0.7749652135221499,3.4786477850157205e-05,0.0012611619805903051
sample_9,0.219,0.21900945120354526,-9.451203545257636e-06,0.0012611170178649326
sample_10,0.12,0.11995335034732738,4.664965267262011e-05,0.0012605006982485752
sample_11,0.066,0.06599915194483322,8.48055166785544e-07,0.0012611665952496714
sample_12,0.037,0.03702117697662999,-2.1176976629989908e-05,0.0012603162151646138
sample_13,0.1,0.09996589652580795,3.4103474192054284e-05,0.001260899709452562
sample_14,0.161,0.16098877186642654,1.1228133573459864e-05,0.0012612786787612373
sample_15,0.773,0.7729891446909258,1.085530907418697e-05,0.001261227091850597
sample_16,0.087,0.08704178042912816,-4.1780429128168706e-05,0.0012610375098246291
sample_17,0.511,0.5110048020491265,-4.802049126451102e-06,0.001261188982966791
sample_18,0.079,0.07897650239080256,2.3497609197439817e-05,0.0012611111050870745
sample_19,0.043,0.04299254698269517,7.453017304828724e-06,0.0012611601033229128
sample_20,0.49,0.490010873256126,-1.0873256126031627e-05,0.0012610625684745275
