,SMILES
0,NS(O)(O)c1cccc(C(C(=O)C(=NNc2ccc(N(=O)O)cc2)C(=O)C(F)(F)F)c2ccccc2)c1
1,CC(=O)Cc1cc(-c2c(Br)ccc3c2C(=O)C3)c(N(=O)O)cc1N(=O)O
2,Cc1nn(OC2C(c3cncn3)OC(Oc3cccc4nccc34)(C3CCC4C5CCC6CCCCC6(C)C5CC(O)C43C)C2OC2N=c3cc(N(=O)O)ccc3=C2O)nc1N(=O)O
3,CC1=CCC(Cn2c(=O)c(C(=O)NN=C(C)c3ccco3)cc3c(=O)oc4ccccc4c32)C1(C)C
4,CC(OC(CN=Cc1ccc(C=NCC(NC=C(C#N)c2ccccc2)OC2SC(=S)NC2=O)cc1N(=O)O)OCN(=O)O)C(=O)O
5,CC(C)(C)SC(O)(C(=O)O)c1ccc2c(c1)C(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C2=O
6,CC(=O)N(Nc1ccccc1)c1ccc(NNc2ccc(Nc3ccc4c(c3N)C(=O)c3ccccc3C4=O)c(N)n2)cc1
7,COC1=C(OC)C(c2ccc(C=NNC(=O)C(=O)NN=Cc3ccc(-c4ccc5c(c4)non5O)cc3)cc2)OC1=O
8,Cc1cc2c(o1)-c1c(oc3ccccc13)CCC2(C)c1ccccc1C(CCCl)n1c(C)nc2ccccc2c1=O
9,Cc1ccc(C=NC2=NC(c3ccc4ccc(=O)oc4c3Cc3nc4ccccc4n3)N=N2)cc1
10,CC1=NC(C2CCCCN2)C(C)=C1C(=O)c1cc(Cl)ccc1N=NC1SC(=S)NC1=O
11,CNC(=NC#N)Nc1cc(O[Si](C)(C)C)sc(=Nc2ccc(-c3cc(=O)nc(=S)n3)cc2)c1
12,CC(C)C1=CC2=CCC3C(C)(c4ccc(C=Nc5ccc(CCc6ccc7c(c6N)C(=O)c6ccccc6C7=O)cc5)cc4)CCCC3(C)C2CC1
13,Cc1cc(OP(=O)(Oc2ccc(Cl)cc2)Oc2nc(Cl)c(Cl)cc2Cl)nn1C1=CC(C)N=N1
14,CC(=O)NC(=O)C(C(C(=O)O)C(C)C)(N1c2cc3nc(C)cc3cc2CC1C)C1(C#N)Cc2ccccc2C(=O)O1
15,CC12CCC3C(CC(O)C4(O)CC(O)CCC34C)C1CCC2N1CCC(C23C=CC(CC2)C2C(=O)OC(=O)C23)CC1
16,O=C1c2ccccc2N2OC12c1ccc(C2C=C(c3ccccc3)OC(c3ccccc3)=C2)nn1
17,CC1=NNC(=N)Nc2c1c(=O)n(NCCNC(C)C(C)(C)C)c1ccccc21
18,C=C1C(=O)C23C(O)C1CC(OCN1C(=O)CN=C(c4ccccc4F)c4cc(Cl)ccc41)C2C12CCCC(C)(COC1)C2CC3n1c(=S)oc2ccccc21
19,Cc1nc(CCCCCOC2CC(c3ccccc3)=NO2)sc1N=Nc1ccc(Cl)cc1
20,Cc1ccc(S(O)(O)NC(=S)Nc2sc3sc(-c4c(N)c5ccccc5oc4=O)c(N=C4SCCS4)c3c2N=C2SCCS2)cc1
21,CC(C)C(C(=O)O)C1(O)CCC2C3CCC4CC(OCc5c6c(oc7c5CCCC7)CCCC6)CCC4(C)C3CCC21C
22,CC(=O)Sc1cc(Nc2cc(C)on2)cc(OC(Br)C(Br)N(=O)O)c1
23,CCC(C)C(N)C(=O)C1C(=O)NN(Oc2ccc(Cl)cc2C)C1=O
24,CC1=NN(C2CCCCC2)C(=O)C1C(C1OC(=O)C2CCC1(C)C2(C)C)n1c(C)nc2ccccc2c1=O
25,Cc1ncnc1-c1cc(C=c2sc3nc4ccccc4n3c2=O)ccc1OCCCCl
26,Cc1ccc(S(O)(O)NN=C2C=CC(C)(c3nnc4n3NC(C)(C3C(O)=C(C(N)=O)C(=O)C5(O)C(O)=C6C(=O)c7c(O)cccc7C(C)(O)C6C(O)C35)S4)CC2)cc1
27,CC1=NNC(=N)Nc2c1c(=O)n(-c1nc3cc4c(cc3c1OC1CC3=CC(=O)CCC3(C)C3CCC5(C)C(CCC56CCC(=O)O6)C13)C(=O)C(c1ccccc1)=N4O)c1ccccc21
28,CC1CC2C(C(O)CC3(C)C2CCC3(O)CC(=NNc2cccc(NN=C(Cc3cnc4n(C)nc(N)c-4c3=O)c3ccccc3)c2)c2ccccc2)C2(C)C=CC(=O)C=C12
29,CC(=O)Nc1cc(Oc2cccc(C)c2C)ccc1CC12C=CC(CC1)C1C(=O)OC(=O)C12
30,O=c1nc2ccccc2nc(C(c2nnnn2)c2cc(N(=O)O)ccc2O)c1NNc1ccc2ccccc2c1
31,CCCCCC(=O)C1(CS(O)(O)NC)Cc2ccccc2C(=O)O1
32,CN1CCC23c4c5ccc(-c6nnc(N)nc6-c6csc(C(C#N)=NNc7ccc(F)cc7)n6)c4OC2C(O)C=CC3C1C5
33,CC1C(O)CCC2(C)C1CCC13OC21CCC1(C)C(c2ccc(C4Cc5ccccc5C(C)(O)O4)cc2NCc2ccc(N(=O)O)cc2N)CCC13C
34,C=CCNc1ccc(N=Nc2c(N)nn3c(-c4nnc(S)o4)cc(C)nc23)cc1
35,Cc1nn(Sc2nnc(C3N=c4cc(N(=O)O)ccc4=C3O)n2CCCS)c(N)c1C#N
36,C#CC(C)Nc1nc(Cl)nc(NS(=O)(=O)c2ccc(N)cc2)n1
37,CC1CC(c2ccccc2I)C(=O)C(C2CCNCC2)C1
38,CC(Cc1nc2nc(C)cc(-c3nnc(S)o3)n2n1)=NNc1ccccc1
39,CC1CC=CC=CC=CC=CC(c2ccccc2F)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2c1ncnc2nccnc12
40,CC1=CC(=NNC(N)=O)C(OC(C(COCCCCCC(=O)O)On2c(C)cc3c(c2=O)C(c2ccccc2)C(C#N)=C(N)O3)C(ON2N=C(C(F)(F)F)C(=NNc3cccc(C)c3)C2=O)C(CC(=NO)c2ccc3c4c(cccc24)CC3)OC(=O)C(Cl)Cl)CC1
41,Cc1ccc(Nc2ccc(C(Br)C(Br)N(O)c3ccccc3)c(C(C)C(=O)NO)c2C)c(C)c1
42,COC(=N)C1=CC(O)C(O)C(OC(COn2c(=O)c(NN=C3C(=O)NN=C3c3c(O)c4ccccc4n(C)c3=O)c(C)n2C)CS(O)(O)c2ccccc2)O1
43,CC(=Nc1ccc(N=Nc2ccccc2)cc1)c1c(O)c2ccccc2n(C(CN=Cc2cccc(C=NCC(OCc3ccc(N)cc3)c3ccc(O)cc3C)c2)OC(=O)O)c1=O
44,CCC(CC1=N(C)c2ccc3ccccc3c2C1(C)C)C(=O)C1CC(c2ccccc2)c2ccccc21
45,CCCCCCCCCC(Br)C(=O)C(=O)C(Br)NC(C)=O
46,Cc1ccc(S(O)(O)NC(C(=O)CC2COc3ccccc3O2)c2cccc3nccc23)cc1
47,CC12CCC3C(CC(OC4CCC5C6C(=O)CC7CCCCC7(C)C6CCC45C)C4(O)CC(=O)CCC34C)C1CCC2CCBr
48,Clc1cccc(Cl)c1NN1c2ccccc2Sc2ccc(CBr)cc21
49,CC1(C)CC(=O)C2=C(C1)Nc1c(ccc3ccccc13)C2c1ccc(N2CCN(c3csc(C(C#N)=NNc4ccc(Br)cc4)n3)CC2)cc1
50,CC(=NNC(=O)CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21)c1c(O)c2ccccc2n(-c2cc3ccccc3oc2=O)c1=O
51,Cc1cc(C(=O)C(=NNc2ccccc2N(=O)O)C(=O)c2c(C)cc(O)nc2O)c(O)c(N(=O)O)c1
52,CCCCCCCCCCCCC(Oc1ccc(N=c2cc(Cc3csc4c(Cl)cccc34)sc(C3CC4(C)Nc5ccccc5C(O4)C3N(=O)O)c2)cc1)C(=O)NN
53,Cc1ccc(C=NC2=NC(C3Cc4cc(Cc5cc(=O)nc(=O)n5)c(N=Cc5ccccc5)cc4N3)N=N2)cc1
54,CC(=NCC(O)CO)c1c(O)c2ccccc2n(-c2ccc3cc(N(=O)O)ccc3c2Oc2cccc3nccc23)c1=O
55,N#Cc1cc(Cc2cc(Cl)ccc2O)c(C2C=Cc3ccc(O)cc3N2)c(C2CCCC(=NO)C2)c1
56,C=C(C)CCCC(C)CCc1nn(C(=O)C(=NNc2ccc(Cl)cc2Cl)S(O)(O)c2ccccc2)c(C)c1N1CCCCCC1=O
57,CC(=Nc1ccccc1C)c1c(O)c2ccccc2n(CCC(C(=O)c2nnc(S)n2N=Cc2ccc(F)cc2)S(O)(O)c2ccccc2)c1=O
58,CC1=C(C(=O)C2(C)CC(OC3Cc4ccccc4C(C)(O)O3)OC(C)C2O)C(C)NC(=O)N1
59,CC1=CC(=NNC(N)=O)C(OC(CN=Cc2ccc(C=NCC(OC3CCC4C5CC(O)C6(O)CC(O)CCC6(C)C5CCC34C)c3cc(Br)cc(Br)c3O)c(N(=O)O)c2)OCc2ccccc2N)CC1
60,Cc1cc(C)nc(NC2(c3ccccc3N)C(=O)NCNC2=O)n1
61,O=C(CCBr)C(Br)CCc1ccc(Cl)cc1O
62,Cc1nnc2sc(C3(c4cc(N)ccc4N(=O)O)C=CC=CC3)nn12
63,CC1=C(C(=O)N(CCCC2C(=O)NC(=O)NC2=O)OC2CC3C(C)(C)CCCC3(C)C3=C2C(=O)C(C(C)C)=C(O)C3=O)SCCO1
64,C=C1C(=O)C23C(OOCCCC)CC4C(C)(C)CCC(OC5CCC6C7CCC8=CC(=O)CCC8(C)C7C7CC56C(O)O7)C4(C)C2C(Oc2cnccc2C)CC1(Oc1ccc2c(c1N)C(=O)c1ccccc1C2=O)C3OC1SC(=S)NC1=O
65,Cc1ccc(S(O)(O)NN=C2C=CC(C)(c3cc4c(cc3-c3cc5c(cc3O)CN(C)CC5)CC4)CC2)cc1
66,Clc1ccc(-c2cccc(Nc3c(Cl)cc(Cl)cc3Cl)n2)c(Cl)c1
67,CC12CCC3C(CCC4(C)CC(Oc5ccc6c(NC7Cc8ccccc8N7)cccc6c5)CCC34C)C1CCC2O
68,CC12CCCC1C1CCC3CC(OCCC(=O)NNc4ccccc4)(C4CCC5C6CCC7CC(=O)CCC7(C)C6CCC54C)CCC3(C)C1CC2
69,Cc1cccc(N=Nc2c(N)nn3c(-c4nn(C(=O)CC#N)c(=O)n4C(N)=O)cc(C)nc23)c1
70,O=C(O)C(Nc1cc(Cl)c(Cl)cc1Cl)c1cccc(Br)c1
71,CC1CC=CC=CC=CC=CC(c2ccc3ccccc3n2)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2CCC(=O)NNc1ccccc1
72,CCCCCCCCOc1ccc2c(c1)CCC1=C2OC(=O)C(C)(C)C1c1ccc2c(=O)n3c(cc2c1)CCCC3
73,CCCCS(O)(O)NOC1CC2C3CCC(c4ccc5c(=O)n6ccccc6cc5c4)C3(C)CCC2C2(C)CCC(O)CC12O
74,CC(C)CCOCC(=O)C(=O)CCC(=O)NO
75,CC(Cc1csc(C(C#N)=NNc2ccncc2)n1)NCC(N)C(=O)O
76,CC(=O)C1=Nc2ccccc2C1(C)C(=O)C(CC(=NO)c1ccccc1)CN(CC(c1ccc2ccc(C)nc2c1)C1OCC2OC(O)C(O)C(O)C2O1)N=O
77,O=C1CC(c2cc3nnc(-c4ccc5cc6ccccc6cc5c4)n3n2)Oc2cc(O)cc(O)c21
78,CC1(O)OC(c2nn(-n3ccnc3)c(=NN=Cc3ccc(F)cc3)s2)Cc2ccccc21
79,CC(=NCCO)c1c(O)c2ccccc2n(Cc2ccccc2S(O)(O)OCc2ccc(N)cc2)c1=O
80,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C2NC(n3ncc4c(=O)ncnc3-4)OC2=O)O1
81,CC(C)NN(C)N1N=C(C(F)(F)F)C(=NNc2cccc(F)c2)C1=O
82,Cc1n(C)c2cc(N(=O)O)ccc2n1-c1cc(NCCBr)c(OCc2ccccc2F)c(-c2cccc(S(O)(O)N(C)C)c2)c1
83,C=CC=c1c(=CC)c(O)c(C2=NNC(=O)C2=CNCc2ccccc2-c2cc(N=Nc3ccccc3)c(C)cc2N=Nc2ccccc2)c(=O)n1C
84,CCC(C)CCC1=CCC2CCC13CC1CCC(Cc4cccc(O)c4)C1(C)CCC23
85,CC(CCc1ccccc1C=NNc1ccccc1)c1cc(=O)nc(=S)n1
86,CC1CC2CC(=O)CCC2(C)C2CCC3(C)C(ON(c4cc(N(=O)O)c(CC5(C)Cc6ccccc6C(=O)O5)c(N(=O)O)c4CNc4cccc5c(C#N)cccc45)C4CCC5C6C(O)CC7CC(O)CCC7(C)C6CCC54C)CCC3C12
87,Cc1ccc(S(O)(O)N(C)C(CN=Cc2cccc(C=NCC(Oc3csc(C(C#N)=NNc4ccccc4N(=O)O)n3)C3C=CC4C5C=CC(C5)C43)c2)Oc2ncccn2)cc1
88,CC(=O)C(C(=O)N1CCC(O)CC1)C(=O)S(=O)(=O)C(F)(F)F
89,C=CC(=O)c1sc2sc(-c3ccc4c(c3N(=O)O)C(=O)c3c(Cl)c(Cl)c(Cl)c(Cl)c3C4=O)c(N)c2c1N
90,CCC(OC(COc1csc(N=C(N)N)n1)COC(C)CN1C(=O)c2cccnc2Nc2ccccc21)C(C)(C)C(=O)O
91,Cc1cc(-c2cc(-n3ncc4c(N)nc(O)nc43)cc(N3(C)CC=CC3)o2)nn1
92,CC(=O)N1N=C(c2ccc3ccccc3c2)CC1OCc1cccc(S(O)(O)O)c1
93,CC12CC=C(c3ccc(CCC(=O)C(=NO)c4ccccc4)cc3)CC1CCC1C2CCC2(C)C(OCC(=NNc3ccccc3)c3ccccc3)CCC12
94,CCCCS(O)(O)NN(c1cc2c(cn1)CCCC2)c1cc(N(CC2=CC(=O)CCC2)c2cn(O)ccc2C)c(N(=O)O)cc1N(=O)O
95,CC1=Nc2ccccc2Sc2c1c(=O)n(OC(C#N)C(OC(=O)CC1(O)Cc3ccccc31)C(ON1CCCCCC1)C(COc1nc3ccccc3nc(=O)c1NNc1ccc3ccccc3c1)OC1C=C(c3ccccc3)OC(c3ccccc3)=C1)c1ccccc21
96,NCCCCC(N)C(=O)c1ccc(N=Nc2ccc(-c3cnnc3)cc2)cc1
97,Cc1c2c(c(C(c3ccc(C4C5=C(CC(C)(C)CC5=O)Nc5ccc6ccccc6c54)cc3)c3cc(Nc4ccc(N(=O)O)c(F)c4)c(Nc4ccc(F)c(F)c4F)cc3N(=O)O)c3c1C(=O)C3)CC2=O
98,CC(=O)C(OC1CCC2(C)C(CC(=O)C3C2CCC2(C)C(ONc4c(C)cc(C)cc4C)CCC32)C1)C(C)=O
99,CCCC(O)C(O)(CC)OC1CCC2(C)C(CCC3C2CCC2(C)C3CCC2(C#Cc2ccccc2)ONc2ccccc2N)C1
100,CC12CCC(OCc3ccc4ccccc4c3)CC1=CC(=O)C1C2CCC2(C)C(OCc3ccccc3F)CCC12
101,CC(=O)C(CC(C)(C)C)C(=O)CC(C)(C)C(=O)O
102,Cc1cc2cc(-c3cc4nnnc4cc3NCN3CCOCC3)ccc2cn1
103,CC1=C(C(=O)CC(Nc2ccc(Br)cc2N)C(=O)O)C(C)N=N1
104,Cc1ccc(-c2ccc(CN3CCCC3)cc2)o1
105,Cc1cc(Cc2cccc(Cl)c2)cc(C)c1C(=O)C1=CC(C)N=N1
106,CCC(C(=O)O)c1ccc2c(c1)c(-c1ccc(Cl)c(Cl)c1)c(C)n2C(=O)C(=O)C(C#N)=C(SC)N(C)C
107,Nc1cnn(-c2ccc3c(c2)CC2(CCC(Cc4ccc5c(c4)OCO5)CC2)C3=O)c(=O)c1Cl
108,Cc1cc(Nc2cn(Nc3ccc(Cl)cc3N(=O)O)c3nc(C(Cl)(Cl)C(Cl)Cl)ncc3c2=O)no1
